Date : 2024-06-27 16:50:48
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/oopsdance
Total : 4086 files,  -1781096 codes, -957629 comments, -120346 blanks, all -2859071 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/docs/conf.py                                                                       | Python           |       -106 |       -198 |        -81 |       -385 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/annotations_pb2.py                                                      | Python           |        -17 |        -19 |        -13 |        -49 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/auth_pb2.py                                                             | Python           |        -84 |        -25 |        -16 |       -125 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/backend_pb2.py                                                          | Python           |        -57 |        -22 |        -12 |        -91 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/billing_pb2.py                                                          | Python           |        -36 |        -21 |        -11 |        -68 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/client_pb2.py                                                           | Python           |       -265 |        -35 |        -25 |       -325 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/config_change_pb2.py                                                    | Python           |        -45 |        -21 |        -13 |        -79 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/consumer_pb2.py                                                         | Python           |        -39 |        -21 |        -12 |        -72 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/context_pb2.py                                                          | Python           |        -36 |        -21 |        -12 |        -69 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/control_pb2.py                                                          | Python           |        -25 |        -20 |        -13 |        -58 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/distribution_pb2.py                                                     | Python           |       -104 |        -26 |        -13 |       -143 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/documentation_pb2.py                                                    | Python           |        -48 |        -22 |        -13 |        -83 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/google/api/endpoint_pb2.py                                                         | Python           |        -26 |        -20 |        -11 |        -57 |
